alpha schedule key,Mean Reward,Mean dQ,Max V,Mean V,Optimal policy reward
constant_1,0.017,0.021278019412226724,1.0,0.07344958390111778,0.0
constant_0.5,0.03,0.11789172494255268,1.0,0.27560301375251955,0.8111
constant_0.1,0.022,0.043496274976509125,1.0,0.3423291385619297,0.9018
constant_0.01,0.03,0.007336362535377871,1.0,0.3132366928680752,0.9692
linear,0.031,0.03495327056313733,1.0,0.32540433726762785,0.9481
geom,0.041,0.009786457415351073,1.0,0.3312734887814951,0.954
exp_decay,0.032,0.0075943576317313985,1.0,0.33565481155347765,0.8681
