,"('vi', 100)","('pi', 100)","('vi', 200)","('pi', 200)","('vi', 300)","('pi', 300)","('vi', 400)","('pi', 400)","('vi', 500)","('pi', 500)","('vi', 600)","('pi', 600)","('vi', 700)","('pi', 700)","('vi', 800)","('pi', 800)","('vi', 900)","('pi', 900)","('vi', 1000)","('pi', 1000)"
356,,,,,,,5597.43736548116,5668.54993670455,1878.1778205228075,1878.1786618817785,625.0160641004298,625.0169054594038,209.9899585617944,209.99079992076642,72.54028983721508,72.54113119618631,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
357,,,,,,,5660.305225657632,5731.417796881023,1898.99859887713,1898.9994402361044,631.9115558519098,631.9123972108815,212.27362950269557,212.2744708616667,73.29660325970538,73.29744461867666,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
358,,,,,,,5723.871681180299,5794.984252403683,1920.0507402653138,1920.0515816242878,638.8836711505195,638.8845125094929,214.5826768742093,214.58351823318117,74.06132092938542,74.0621622883569,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
359,,,,,,,5788.144494926029,5859.257066149415,1941.3368156216623,1941.3376569806346,645.933261446481,645.9341028054544,216.91738266233472,216.91822402130526,74.83453623527727,74.83537759424867,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
360,,,,,,,5853.131516033729,5924.244087257125,1962.8594244490225,1962.860265807992,653.0611876514373,653.0620290104105,219.2780319865328,219.27887334550343,75.61634360415326,75.61718496312454,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
361,,,,,,,5918.840680862907,5989.9532520863,1984.621195136235,1984.6220364952064,660.2683202435824,660.2691616025543,221.66491313454725,221.66575449351888,76.40683851206713,76.40767987103823,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
362,,,,,,,5985.280013962851,6056.392585186241,2006.6247852791205,2006.625626638092,667.5555393739671,667.5563807329399,224.07831759761137,224.0791589565829,77.20611749601454,77.20695885498569,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
363,,,,,,,6052.457629052631,6123.570200276025,2028.8728820050217,2028.8737233639938,674.9237349739981,674.9245763329708,226.51854010604345,226.51938146501408,78.014278165722,78.01511952469299,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
364,,,,,,,6120.381730011956,6191.494301235351,2051.3682023009765,2051.369043659945,682.3738068641,682.3746482230739,228.98587866523997,228.986720024211,78.83141921556707,78.83226057453847,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
365,,,,,,,6189.060611883042,6260.173183106442,2074.113493345506,2074.114334704482,689.9066648636183,689.90750622259,231.48063459207367,231.48147595104396,79.657640436632,79.65848179560314,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
366,,,,,,,6258.50266188364,6329.615233107026,2097.111532844127,2097.112374203105,697.5232289019156,697.5240702608888,234.00311255168256,234.0039539106534,80.49304272888862,80.49388408785978,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
367,,,,,,,6328.716360431271,6399.82893165466,2120.3651293685607,2120.365970727533,705.2244291307292,705.2252704897027,236.55362059468436,236.55446195365576,81.33772811352232,81.33856947249349,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
368,,,,,,,6399.710282178905,6470.822853402305,2143.8771226996955,2143.8779640586663,713.0112060377508,713.0120473967237,239.13247019479067,239.13331155376193,82.1917997453906,82.1926411043616,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
369,,,,,,,6471.493097062116,6542.605668285507,2167.6503841744398,2167.651225533411,720.8845105614887,720.8853519204597,241.7399762868493,241.74081764582047,83.05536192561921,83.05620328459038,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
370,,,,,,,6544.073571357829,6615.186142581223,2191.6878170363316,2191.6886583953083,728.8453042073927,728.8461455663656,244.37645730530102,244.3772986642723,83.92852011434192,83.92936147331311,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
371,,,,,,,6617.46056875494,6688.573139978332,2215.992356790121,2215.9931981490968,736.894559165286,736.8954005242575,247.04223522306899,247.04307658204036,84.81138094357797,84.81222230254912,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
372,,,,,,,6691.663051436722,6762.775622660116,2240.5669715602367,2240.5678129192083,745.0332584280758,745.0340997870492,249.73763559087908,249.7384769498497,85.70405223025465,85.70489358922585,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
373,,,,,,,6766.690081175327,6837.8026523987255,2265.4146624532655,2265.415503812238,753.2623959118134,753.2632372707857,252.46298757701578,252.46382893598766,86.60664298937402,86.6074843483453,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
374,,,,,,,6842.550820438444,6913.663391661833,2290.5384639244576,2290.5393052834324,761.5829765770604,761.5838179360352,255.218624007525,255.21946536649617,87.5192634473266,87.52010480629765,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
375,,,,,,,6919.254533508192,6990.3671047315775,2315.9414441483154,2315.9422855072917,769.9960165516299,769.9968579106018,258.0048814068529,258.005722765824,88.4420250553506,88.44286641432217,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
376,,,,,,,6996.810587612544,7067.923158835937,2341.6267053932547,2341.6275467522278,778.5025432546644,778.5033846136379,260.8221000389468,260.8229413979189,89.3750405031466,89.37588186211796,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
377,,,,,,,7075.228454069265,7146.341025292648,2367.597384400481,2367.598225759454,787.1035955221188,787.1044368810915,263.67062394881094,263.67146530778143,90.31842373263457,90.31926509160573,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
378,,,,,,,7154.517709442525,7225.630280665911,2393.85665276706,2393.8574941260313,795.8002237336174,795.8010650925892,266.5508010045165,266.5516423634874,91.2722899518716,91.27313131084314,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
379,,,,,,,7234.688036712488,7305.800607935877,2420.4077173332144,2420.408558692192,804.5934899407317,804.5943312997041,269.4629829396896,269.4638242986606,92.2367556491217,92.23759700809298,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
380,,,,,,,7315.749226457754,7386.861797681142,2447.253820573986,2447.2546619329623,813.4844679966811,813.4853093556544,272.40752539646303,272.4083667554342,93.21193860707974,93.21277996605102,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
