,State,Action,Reward,Error,Time,Max V,Mean V,State,Action,Reward,Error,Time,Max V,Mean V
,value_iter,value_iter,value_iter,value_iter,value_iter,value_iter,value_iter,policy_iter,policy_iter,policy_iter,policy_iter,policy_iter,policy_iter,policy_iter
Iteration,,,,,,,,,,,,,,
1,,,0.3333333333333333,0.36666666666666664,4.291534423828125e-05,0.3333333333333333,0.006770833333333333,,,0.7366935406875128,0.1805971842267984,0.0014836788177490234,0.7366935406875128,0.0284488393630772
2,,,0.4433333333333333,0.13199999999999998,0.0001010894775390625,0.4433333333333333,0.011583333333333331,,,0.8656381214722475,0.0454885852271445,0.0032799243927001953,0.8656381214722475,0.19672518290485236
3,,,0.5159333333333332,0.08348999999999997,0.00015687942504882812,0.5159333333333332,0.01612083333333333,,,0.8765601238065086,0.05739565475459059,0.005301713943481445,0.8765601238065086,0.23158659401460296
4,,,0.5638493333333332,0.06708239999999997,0.000209808349609375,0.5638493333333332,0.020313483333333326,,,0.876680195069697,0.03538138567467214,0.007612943649291992,0.876680195069697,0.2688268547396897
5,,,0.5994269633333332,0.052971138,0.0002620220184326172,0.5994269633333332,0.024155373239583326,,,0.8768565044686245,0.006812744873441079,0.009827852249145508,0.8768565044686245,0.3167817679555082
6,,,0.6268217384333332,0.04357073753999996,0.00031304359436035156,0.6268217384333332,0.02783134083708333,,,0.8768594286207816,0.0005026736388865083,0.012233972549438477,0.8768594286207816,0.3183376343112112
7,,,0.6487766939063333,0.03603195633509994,0.00036406517028808594,0.6487766939063333,0.03139416801548489,,,0.8768606115517292,9.581416883785998e-07,0.014507770538330078,0.8768606115517292,0.3184166756295205
8,,,0.6668185014332633,0.030685278943440038,0.0004138946533203125,0.6668185014332633,0.034899760534753355,,,,,,,
9,,,0.6820030264815387,0.027138998303323815,0.00046515464782714844,0.6820030264815387,0.038354916735871214,,,,,,,
10,,,0.6950028832625257,0.024562504594993567,0.0005159378051757812,0.6950028832625257,0.04180247608255091,,,,,,,
11,,,0.706317678279331,0.02235390581626308,0.0005669593811035156,0.706317678279331,0.04524364257176981,,,,,,,
12,,,0.7162840762627727,0.020414462241959426,0.00061798095703125,0.7162840762627727,0.0486980696840764,,,,,,,
13,,,0.7251674226083638,0.018741740901623692,0.0006678104400634766,0.7251674226083638,0.05216435762172756,,,,,,,
14,,,0.7331526037785947,0.017266570864318105,0.0007190704345703125,0.7331526037785947,0.05565273128165001,,,,,,,
15,,,0.7403929041569675,0.016148386976268303,0.0007688999176025391,0.7403929041569675,0.059174327220078406,,,,,,,
16,,,0.7469978687264165,0.015374879673594744,0.0008189678192138672,0.7469978687264165,0.06273733912000898,,,,,,,
17,,,0.7530622143952663,0.014492141659228203,0.0008690357208251953,0.7530622143952663,0.0663383728550344,,,,,,,
18,,,0.7586551880269208,0.013804647289879353,0.0009188652038574219,0.7586551880269208,0.06997579882337988,,,,,,,
19,,,0.7638387075073348,0.013331456710708397,0.00096893310546875,0.7638387075073348,0.0736460135321081,,,,,,,
20,,,0.7686590475125125,0.012859267064991447,0.0010190010070800781,0.7686590475125125,0.0773471919913703,,,,,,,
21,,,0.7731586442083473,0.012459192782823786,0.0010690689086914062,0.7731586442083473,0.08107470191527162,,,,,,,
22,,,0.7773699004457448,0.01211907027716333,0.0011188983917236328,0.7773699004457448,0.08482764305393334,,,,,,,
23,,,0.7813230576072926,0.011888478262153085,0.0011680126190185547,0.7813230576072926,0.08860022639103377,,,,,,,
24,,,0.7850416930746043,0.011735816924898834,0.0012180805206298828,0.7850416930746043,0.0923928291136043,,,,,,,
25,,,0.7885480722451264,0.011591562820834372,0.0012669563293457031,0.7885480722451264,0.09620011816502128,,,,,,,
26,,,0.7918599039716454,0.011405894735860928,0.001316070556640625,0.7918599039716454,0.10001914689661742,,,,,,,
27,,,0.7949940273407435,0.011216780403191962,0.0013649463653564453,0.7949940273407435,0.10384482115425601,,,,,,,
28,,,0.7979640897744796,0.011005774167828719,0.0014140605926513672,0.7979640897744796,0.10767377184509606,,,,,,,
29,,,0.8007831144847458,0.01076472145191773,0.0014629364013671875,0.8007831144847458,0.11150215617439108,,,,,,,
30,,,0.8034618453651651,0.010511192316025958,0.0015130043029785156,0.8034618453651651,0.1153324011787487,,,,,,,
31,,,0.8060105500020571,0.01023958448824236,0.0015621185302734375,0.8060105500020571,0.1191603141246841,,,,,,,
32,,,0.8084378426387513,0.009971710619455953,0.00160980224609375,0.8084378426387513,0.12298239306245404,,,,,,,
33,,,0.810751958514633,0.009730532641860634,0.0016591548919677734,0.810751958514633,0.1267937459465649,,,,,,,
34,,,0.8129599166813263,0.009472972542459795,0.0017080307006835938,0.8129599166813263,0.13059230486459755,,,,,,,
35,,,0.8150684255555003,0.009213606432483284,0.0017578601837158203,0.8150684255555003,0.13437508187145517,,,,,,,
36,,,0.8170832879251478,0.008945437757798269,0.0018069744110107422,0.8170832879251478,0.13813856834748447,,,,,,,
37,,,0.8190157681364587,0.008678879609946039,0.0018558502197265625,0.8190157681364587,0.1418791051067984,,,,,,,
38,,,0.8208747381335095,0.008408941269449521,0.0019049644470214844,0.8208747381335095,0.14559330139852703,,,,,,,
39,,,0.8226663502963909,0.008148558715668053,0.0019528865814208984,0.8226663502963909,0.14927773895696184,,,,,,,
40,,,0.8243951799703697,0.007891828539653145,0.002003908157348633,0.8243951799703697,0.15292929791904034,,,,,,,
41,,,0.8260648636621968,0.007663416010098428,0.0020530223846435547,0.8260648636621968,0.15655107202951618,,,,,,,
