,Mean Reward,Mean dQ,Max V,Mean V,Optimal policy reward
1000,0.022,0.016972556717527714,1.0,0.044953720560924254,0.0
5000,0.016,0.016313042600024176,1.0,0.13348275077773453,0.997
10000,0.024,0.01744344844189309,1.0,0.23328681260950723,0.992
50000,0.014,0.018484612435316187,1.0,0.33651877182783807,0.514
100000,0.025,0.02027282401686131,1.0,0.3343313255290602,0.995
