,constant_1,constant_0.5,constant_0.1,constant_0.01,linear,geom,exp_decay
1,0.0,0.5454632221849718,0.47792037712216395,0.38581605711189776,0.4598833182437597,0.48735399697852566,0.4645429145431799
2,0.0,0.5448305239148485,0.4952096071364903,0.4102052224208415,0.48797052302831223,0.50963041474612,0.4837050361098468
3,0.0,0.5519156695713585,0.5144925091639997,0.44441646124632145,0.5158360663470356,0.5297322604846546,0.5089424802286099
4,0.0,0.5790984743236185,0.5348977395019975,0.48921536252265774,0.5504261105606936,0.5564323784939689,0.5375942193260287
5,0.0,0.5790166353554744,0.5604216197560524,0.5440369546395187,0.5794911527473312,0.5867829279578493,0.5718080274368866
6,0.0,0.6088147277625233,0.5773826653218368,0.5757669521142269,0.6079607099753241,0.6106335983766366,0.600527200210506
7,0.44752321376381066,0.615910627226002,0.5757131601028561,0.5800976524858396,0.6166046870947132,0.6197875347722088,0.6077410173951293
8,0.0,0.5277411293952035,0.459031970757108,0.3733791039897478,0.4414129949206882,0.46900957173323093,0.44788855183199483
9,0.0,0.5288162106049421,0.46578635209959335,0.3823124338862236,0.4522331281286881,0.480209055726799,0.45884516137301345
10,0.0,0.5454256389765688,0.4887927867976997,0.402493766324283,0.47234198893625967,0.5004367911989615,0.47773263606268984
11,0.0,0.5617079946629857,0.5015633272070922,0.42993958329568116,0.49920502963265506,0.5182808817016267,0.49975600870566017
12,0.0,0.5768901101115229,0.5223124953549174,0.4578100230897295,0.5344842939471728,0.5472322645052016,0.5246664621731255
13,0.0,0.5869748157250828,0.5596075532950153,0.5257751157398083,0.5691143240709832,0.5782269561265815,0.561414079769462
14,0.0,0.6155387496862894,0.5857414540424082,0.5889912956113162,0.6192339729309758,0.6208500087184203,0.6102454508424796
15,0.4520436502664754,0.6394519929857159,0.5939195595296569,0.5998509547317236,0.6341672521379738,0.637506811589016,0.6255868783508706
16,0.0,0.4865219602726285,0.4366395573746542,0.3340617387348118,0.4108237308170457,0.44798722984001127,0.4251537654093295
17,0.0,0.47223134273179834,0.42760185211121704,0.34405867476215823,0.3929669633062621,0.43850702949784826,0.417322824748357
18,0.0,0.3389334748161321,0.364539405882312,0.31188976576458805,0.3587421856898749,0.403864924114226,0.3643918064775769
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.2322514067104558,0.4772777252920968,0.38191435822774106,0.4248439265589745,0.4240186224778644,0.4280005664396541
21,0.0,0.3065400930658084,0.5497666302818612,0.4960237246982512,0.5451068734757525,0.531881827626036,0.5137733901610069
22,0.0,0.5743443941694404,0.5913520949171494,0.6046094514585538,0.6406369648815712,0.6336585536597599,0.6284638585964683
