alpha schedule key,Mean Reward,Mean dQ,Max V,Mean V,Optimal policy reward
constant_1,0.999,0.16505009656087735,9468.532364722067,176.168406319229,3.673
constant_0.5,1.0,4.016361501880172,7686.126683988081,158.6862882033713,3.871
constant_0.1,0.999,1.2450998766724313,2005.650410532866,22.666036299469038,3.474
constant_0.01,1.309,0.00507512141672232,256.99362378593077,1.493458831884714,1.495
linear,0.999,0.20922220745023343,7375.277733957965,148.42364282675842,3.573
geom,1.0,0.2566799975435242,2952.0425774571104,30.34609618175923,1.198
exp_decay,1.008,0.03480425113391085,1512.556419415405,12.222603917397482,3.277
