,Reward,Error,Time,Max V,Mean V,Alpha,Epsilon
0,0.0,0.0,6.699562072753906e-05,0.0,0.0,0.01,1.0
1,0.0,0.0,0.01049494743347168,0.0,0.0,0.01,0.999
2,0.0,0.0,0.021114110946655273,0.0,0.0,0.01,0.998001
3,0.0,0.0,0.021178722381591797,0.0,0.0,0.01,0.997002999
4,0.0,0.0,0.0314328670501709,0.0,0.0,0.01,0.996005996001
5,0.0,0.0,0.0314939022064209,0.0,0.0,0.01,0.995009990004999
6,0.0,0.0,0.03161001205444336,0.0,0.0,0.01,0.994014980014994
7,0.0,0.0,0.03167986869812012,0.0,0.0,0.01,0.993020965034979
8,0.0,0.0,0.03178095817565918,0.0,0.0,0.01,0.9920279440699441
9,0.0,0.0,0.03183102607727051,0.0,0.0,0.01,0.9910359161258742
10,0.0,0.0,0.04187893867492676,0.0,0.0,0.01,0.9900448802097482
11,0.0,0.0,0.05351996421813965,0.0,0.0,0.01,0.9890548353295385
12,0.0,0.0,0.05358004570007324,0.0,0.0,0.01,0.988065780494209
13,0.0,0.0,0.0598907470703125,0.0,0.0,0.01,0.9870777147137147
14,0.0,0.0,0.07597899436950684,0.0,0.0,0.01,0.986090636999001
15,0.0,0.0,0.0760507583618164,0.0,0.0,0.01,0.9851045463620021
16,0.0,0.0,0.07610106468200684,0.0,0.0,0.01,0.98411944181564
17,0.0,0.0,0.07613682746887207,0.0,0.0,0.01,0.9831353223738244
18,0.0,0.0,0.07617998123168945,0.0,0.0,0.01,0.9821521870514506
19,0.0,0.0,0.08571100234985352,0.0,0.0,0.01,0.9811700348643991
20,0.0,0.0,0.08575296401977539,0.0,0.0,0.01,0.9801888648295347
21,0.0,0.0,0.08579301834106445,0.0,0.0,0.01,0.9792086759647052
22,0.0,0.0,0.09939384460449219,0.0,0.0,0.01,0.9782294672887405
23,0.0,0.0,0.09946680068969727,0.0,0.0,0.01,0.9772512378214517
24,0.0,0.0,0.10876584053039551,0.0,0.0,0.01,0.9762739865836303
25,0.0,0.0,0.10880494117736816,0.0,0.0,0.01,0.9752977125970467
26,0.0,0.0,0.13302969932556152,0.0,0.0,0.01,0.9743224148844496
27,0.0,0.0,0.13312196731567383,0.0,0.0,0.01,0.9733480924695651
28,0.0,0.0,0.13316702842712402,0.0,0.0,0.01,0.9723747443770956
29,0.0,0.0,0.1332111358642578,0.0,0.0,0.01,0.9714023696327185
30,0.0,0.0,0.13325190544128418,0.0,0.0,0.01,0.9704309672630859
31,0.0,0.0,0.13329672813415527,0.0,0.0,0.01,0.9694605362958227
32,0.0,0.0,0.13334298133850098,0.0,0.0,0.01,0.9684910757595269
33,0.0,0.0,0.13341093063354492,0.0,0.0,0.01,0.9675225846837673
34,0.0,0.0,0.13345098495483398,0.0,0.0,0.01,0.9665550620990835
35,0.0,0.0,0.13351178169250488,0.0,0.0,0.01,0.9655885070369844
36,0.0,0.0,0.1400618553161621,0.0,0.0,0.01,0.9646229185299474
37,0.0,0.0,0.14010286331176758,0.0,0.0,0.01,0.9636582956114175
38,0.0,0.0,0.1537179946899414,0.0,0.0,0.01,0.9626946373158061
39,0.0,0.0,0.17328977584838867,0.0,0.0,0.01,0.9617319426784903
40,0.0,0.0,0.17334914207458496,0.0,0.0,0.01,0.9607702107358118
41,0.0,0.0,0.17345499992370605,0.0,0.0,0.01,0.959809440525076
42,0.0,0.0,0.1734938621520996,0.0,0.0,0.01,0.9588496310845509
43,0.0,0.0,0.19832277297973633,0.0,0.0,0.01,0.9578907814534664
44,0.0,0.0,0.21485376358032227,0.0,0.0,0.01,0.9569328906720129
45,0.0,0.0,0.21489787101745605,0.0,0.0,0.01,0.9559759577813409
46,0.0,0.0,0.22449612617492676,0.0,0.0,0.01,0.9550199818235596
47,0.0,0.0,0.22456073760986328,0.0,0.0,0.01,0.9540649618417361
48,0.0,0.0,0.22461891174316406,0.0,0.0,0.01,0.9531108968798944
49,0.0,0.0,0.22470593452453613,0.0,0.0,0.01,0.9521577859830145
50,0.0,0.0,0.22475004196166992,0.0,0.0,0.01,0.9512056281970315
51,0.0,0.0,0.22484397888183594,0.0,0.0,0.01,0.9502544225688344
52,0.0,0.0,0.24190092086791992,0.0,0.0,0.01,0.9493041681462656
53,0.0,0.0,0.2419729232788086,0.0,0.0,0.01,0.9483548639781193
54,0.0,0.0,0.24210786819458008,0.0,0.0,0.01,0.9474065091141411
55,0.0,0.0,0.24235010147094727,0.0,0.0,0.01,0.946459102605027
56,0.0,0.0,0.24239516258239746,0.0,0.0,0.01,0.9455126435024219
57,0.0,0.0,0.24245190620422363,0.0,0.0,0.01,0.9445671308589195
58,0.0,0.0,0.24249887466430664,0.0,0.0,0.01,0.9436225637280606
59,0.0,0.0,0.24254584312438965,0.0,0.0,0.01,0.9426789411643326
60,0.0,0.0,0.25098395347595215,0.0,0.0,0.01,0.9417362622231683
61,0.0,0.0,0.2510697841644287,0.0,0.0,0.01,0.9407945259609451
62,0.0,0.0,0.26558899879455566,0.0,0.0,0.01,0.9398537314349842
63,0.0,0.0,0.2853579521179199,0.0,0.0,0.01,0.9389138777035492
64,0.0,0.0,0.2954249382019043,0.0,0.0,0.01,0.9379749638258457
65,0.0,0.0,0.29549098014831543,0.0,0.0,0.01,0.9370369888620198
66,0.0,0.0,0.29553771018981934,0.0,0.0,0.01,0.9360999518731578
