,constant_1,constant_0.5,constant_0.1,constant_0.01,linear,geom,exp_decay
0,0.12518781327722867,0.3501617619748624,0.31545849471489346,1.510128931056581e-06,0.09800005818151436,0.19732908721735232,0.22934015067020852
1,0.13337120681385845,0.3602992734783993,0.32479915904653917,2.8619224294990278e-06,0.1026084675428725,0.20726032798445213,0.24427243453786326
2,0.14465615658890826,0.38113944820337314,0.35373460893223696,5.039284426157107e-06,0.1100191245137507,0.22562733701007734,0.2726234634544082
3,0.16219104687695335,0.4170108107735444,0.41083923056582927,7.252599543473283e-06,0.13127840478014782,0.25163696829277876,0.3088867455266276
4,0.18715487977003295,0.4649329731036824,0.46879313933682454,9.41542044896626e-06,0.16135473342870987,0.3027440977222826,0.35666237951105184
5,0.2235233109188041,0.504673582944404,0.514233009066975,1.1974054135045788e-05,0.19858730016101803,0.3618471439194664,0.41023029523292737
6,0.2543436081398224,0.5380165726509177,0.5426962678369951,1.3964812266272395e-05,0.22550331616767771,0.4025824019800557,0.45445494871282305
7,0.26731514138501805,0.5522295083595371,0.548787441883614,1.4781882297698217e-05,0.24432985510358493,0.421344350331965,0.46793794120323556
8,0.11831023620335375,0.3465920848411008,0.308460513688621,1.6488652155397666e-06,0.09237170638039867,0.1884202609716165,0.22290954524224596
9,0.11831658051151135,0.3531498920088321,0.32300492065576736,1.8134690219545583e-06,0.09020419135398658,0.19052659520096968,0.23323343591004797
10,0.10847945883890453,0.36492341346977814,0.3454396387125375,2.784223424024936e-06,0.08222257794217508,0.18658710023505,0.23887743402669995
11,0.06092993893002444,0.3694950528849497,0.3862184032269575,0.0,0.04648870078499678,0.1534088282793914,0.242132393677116
12,0.15398035710369934,0.43279447219991823,0.43446357741436376,7.034376632475378e-06,0.12371444586390502,0.2548647158228834,0.32391713409759254
13,0.1980942957135985,0.4866240044315365,0.5027483968507179,1.1506433651230559e-05,0.17236352155226892,0.33131366108890664,0.39811139155623454
14,0.247084430919694,0.5458782321854789,0.5517305933587009,1.3579016318959503e-05,0.22124945415299993,0.39577123922722895,0.45281571873605625
15,0.2752939688212532,0.5713873431413282,0.5657482275088831,1.3907082515774355e-05,0.25427638996292945,0.44430657819784247,0.48187870556044266
16,0.10490173697819216,0.3153397811993557,0.2765128029894022,1.1075158069814274e-06,0.08153271253563223,0.17050529519743737,0.19633150818967515
17,0.09410807746773214,0.29692837080744955,0.26933923705960666,1.1672865327755657e-06,0.07586100805141195,0.15846866134132476,0.18477834576050872
18,0.03163555439178611,0.23701464578819936,0.22754642442888068,1.4250978630522921e-06,0.02366295968695385,0.07907468138071232,0.12915518386450145
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0294781442360434,0.2868935786736966,0.3313029944639215,0.0,0.023116960243622277,0.11475156095398112,0.1748665149340021
21,0.06492255949620607,0.40057970915070434,0.4509156897770065,0.0,0.06666474841306565,0.20872538006647312,0.2974991741510334
22,0.21403263431403183,0.5446642474666288,0.5727235872819966,8.698848897991557e-06,0.1906256619607505,0.3595054104101553,0.4401644616715729
23,0.30307080203905634,0.6022738140086094,0.6093711317330173,1.141879440373392e-05,0.28234917895688316,0.47870087146151163,0.5211705192979708
24,0.08488175573796587,0.27078157241060535,0.23337022909373095,7.429428140136115e-07,0.06612418049379762,0.14444951388797717,0.16557601119157073
25,0.06979579889646668,0.24028945850065217,0.2087237740541921,6.299363109417344e-07,0.05662883996974933,0.12097982784373915,0.1438523038516174
26,0.033783399326135735,0.15690290754894673,0.15937327125680972,7.339802533129206e-07,0.027158299582880716,0.06464523047945378,0.08570314357992408
