eps schedule key,Mean Reward,Mean dQ,Max V,Mean V,Optimal policy reward
constant_1,0.999,0.006731881588444347,100.99,1.129533045127256,1.198
constant_0.5,1.309,0.0051394145311252195,256.99362378593077,1.5272291608406037,1.693
constant_0.1,0.999,0.16245854745679325,1115.8440974409789,4.993067299651281,1.594
constant_0.01,26.207,0.1578069181760723,100.0,1.0989899999999997,1.099
linear,22.018,0.46460794082359336,438.6109270639501,2.0713441703616526,1.693
geom,1.0,3.264835183307273e-05,1719.3111440604919,2.8172946392822795,1.297
exp_decay,1.018,2.7693451705181296e-05,10.0,1.0086655544701366,1.018
