,Reward,Error,Time,Max V,Mean V,Alpha,Epsilon
0,0.0,0.0,4.57763671875e-05,0.0,0.0,0.01,1.0
1,0.0,0.0,0.008314847946166992,0.0,0.0,0.01,0.999
2,0.0,0.0,0.01661396026611328,0.0,0.0,0.01,0.998001
3,0.0,0.0,0.016666889190673828,0.0,0.0,0.01,0.997002999
4,0.0,0.0,0.02497577667236328,0.0,0.0,0.01,0.996005996001
5,0.0,0.0,0.025054931640625,0.0,0.0,0.01,0.995009990004999
6,-0.1,0.1,0.02515697479248047,0.0,0.0,0.01,0.994014980014994
7,-0.1,0.1,0.025248050689697266,0.0,0.0,0.01,0.993020965034979
8,-0.1,0.1,0.02530193328857422,0.0,0.0,0.01,0.9920279440699441
9,-0.1,0.1,0.025423765182495117,0.0,0.0,0.01,0.9910359161258742
10,-0.1,0.1,0.025495052337646484,0.0,0.0,0.01,0.9900448802097482
11,-0.1,0.0,0.025624752044677734,0.0,0.0,0.01,0.9890548353295385
12,0.0,0.0,0.033345937728881836,0.0,0.0,0.01,0.988065780494209
13,0.0,0.0,0.04198288917541504,0.0,0.0,0.01,0.9870777147137147
14,-0.1,0.1,0.04204297065734863,0.0,0.0,0.01,0.986090636999001
15,0.0,0.0,0.042092084884643555,0.0,0.0,0.01,0.9851045463620021
16,-0.1,0.1,0.04215097427368164,0.0,0.0,0.01,0.98411944181564
17,-0.1,0.1,0.04225897789001465,0.0,0.0,0.01,0.9831353223738244
18,-0.1,0.1,0.04230189323425293,0.0,0.0,0.01,0.9821521870514506
19,0.0,0.0,0.062007904052734375,0.0,0.0,0.01,0.9811700348643991
20,0.0,0.0,0.06817102432250977,0.0,0.0,0.01,0.9801888648295347
21,-0.1,0.1,0.06844401359558105,0.0,0.0,0.01,0.9792086759647052
22,0.0,0.0,0.07894492149353027,0.0,0.0,0.01,0.9782294672887405
23,-0.1,0.1,0.07915496826171875,0.0,0.0,0.01,0.9772512378214517
24,0.0,0.0,0.07919096946716309,0.0,0.0,0.01,0.9762739865836303
25,0.0,0.0,0.09601283073425293,0.0,0.0,0.01,0.9752977125970467
26,-0.1,0.1,0.09609198570251465,0.0,0.0,0.01,0.9743224148844496
27,0.0,0.0,0.12327194213867188,0.0,0.0,0.01,0.9733480924695651
28,0.0,0.0,0.12332797050476074,0.0,0.0,0.01,0.9723747443770956
29,0.0,0.0,0.13248896598815918,0.0,0.0,0.01,0.9714023696327185
30,0.0,0.0,0.13260388374328613,0.0,0.0,0.01,0.9704309672630859
31,-0.1,0.1,0.1326589584350586,0.0,0.0,0.01,0.9694605362958227
32,0.0,0.0,0.1472458839416504,0.0,0.0,0.01,0.9684910757595269
33,0.0,0.0,0.14729881286621094,0.0,0.0,0.01,0.9675225846837673
34,0.0,0.0,0.14734697341918945,0.0,0.0,0.01,0.9665550620990835
35,0.0,0.0,0.15909981727600098,0.0,0.0,0.01,0.9655885070369844
36,1.0,1.0,0.15915608406066895,1.0,0.015625,0.01,0.9646229185299474
37,0.0,0.0,0.16524910926818848,1.0,0.015625,0.01,0.9636582956114175
38,0.0,0.0,0.1652967929840088,1.0,0.015625,0.01,0.9626946373158061
39,0.0,0.0,0.19056391716003418,1.0,0.015625,0.01,0.9617319426784903
40,0.0,0.0,0.20704102516174316,1.0,0.015625,0.01,0.9607702107358118
41,-0.1,0.1,0.20711994171142578,1.0,0.015625,0.01,0.959809440525076
42,-0.1,0.1,0.2071681022644043,1.0,0.015625,0.01,0.9588496310845509
43,0.0,0.0,0.2178339958190918,1.0,0.015625,0.01,0.9578907814534664
44,-0.1,0.0,0.21795892715454102,1.0,0.015625,0.01,0.9569328906720129
45,0.0,0.0,0.21802496910095215,1.0,0.015625,0.01,0.9559759577813409
46,-0.1,0.1,0.21814894676208496,1.0,0.015625,0.01,0.9550199818235596
47,0.0,0.0,0.22671794891357422,1.0,0.015625,0.01,0.9540649618417361
48,0.0,0.0,0.23496079444885254,1.0,0.015625,0.01,0.9531108968798944
49,0.0,0.0,0.23501086235046387,1.0,0.015625,0.01,0.9521577859830145
50,-0.1,0.11999899999999998,0.2351679801940918,0.989901,0.015467203125,0.01,0.9512056281970315
51,0.0,0.0,0.24617695808410645,0.989901,0.015467203125,0.01,0.9502544225688344
52,0.0,1.055337266881064,0.2761070728302002,0.989901,0.02135982966004886,0.01,0.9493041681462656
53,0.0,0.0,0.27615785598754883,0.989901,0.02135982966004886,0.01,0.9483548639781193
54,0.0,0.0,0.2762019634246826,0.989901,0.02135982966004886,0.01,0.9474065091141411
55,-0.1,0.1,0.27626609802246094,0.989901,0.02135982966004886,0.01,0.946459102605027
56,0.0,0.0,0.2860548496246338,0.989901,0.02135982966004886,0.01,0.9455126435024219
57,0.0,0.0,0.302825927734375,0.989901,0.02135982966004886,0.01,0.9445671308589195
58,0.0,0.0,0.32843589782714844,0.989901,0.02135982966004886,0.01,0.9436225637280606
59,0.0,0.0,0.3442709445953369,0.989901,0.02135982966004886,0.01,0.9426789411643326
60,0.0,0.0,0.3443129062652588,0.989901,0.02135982966004886,0.01,0.9417362622231683
61,0.0,0.0,0.3710598945617676,0.989901,0.02135982966004886,0.01,0.9407945259609451
62,0.0,0.0,0.37110090255737305,0.989901,0.02135982966004886,0.01,0.9398537314349842
63,0.0,0.0,0.3862950801849365,0.989901,0.02135982966004886,0.01,0.9389138777035492
64,-0.1,0.1,0.3863499164581299,0.989901,0.02135982966004886,0.01,0.9379749638258457
65,-0.1,0.10746713634521393,0.3864588737487793,0.989901,0.021418166662745843,0.01,0.9370369888620198
66,-0.1,0.101,0.3865048885345459,0.989901,0.021418166662745843,0.01,0.9360999518731578
67,0.0,0.0,0.3865537643432617,0.989901,0.021418166662745843,0.01,0.9351638519212846
