,State,Action,Reward,Error,Time,Max V,Mean V,State,Action,Reward,Error,Time,Max V,Mean V
,value_iter,value_iter,value_iter,value_iter,value_iter,value_iter,value_iter,policy_iter,policy_iter,policy_iter,policy_iter,policy_iter,policy_iter,policy_iter
Iteration,,,,,,,,,,,,,,
10,,,0.6950184006376136,0.02308197824257127,0.0005490779876708984,0.6950184006376136,0.05477530336547656,,,0.8777671355615537,9.74936701036988e-07,0.024435997009277344,0.8777671355615537,0.3369982152757541
11,,,0.7063520851285705,0.021329790001449578,0.0006010532379150391,0.7063520851285705,0.05862371222764394,,,,,,,
12,,,0.7163459443232181,0.01967098785514243,0.0006542205810546875,0.7163459443232181,0.06244315072553818,,,,,,,
13,,,0.7252647055228433,0.01828451678925791,0.0007061958312988281,0.7252647055228433,0.06625236186111266,,,,,,,
14,,,0.733293258492021,0.01704728190669752,0.0007581710815429688,0.733293258492021,0.07006685222239552,,,,,,,
15,,,0.7405832873300284,0.016164892349752352,0.0008571147918701172,0.7405832873300284,0.07389448871045813,,,,,,,
16,,,0.7472439826689413,0.015462058340579538,0.0009081363677978516,0.7472439826689413,0.07774350114779126,,,,,,,
17,,,0.7533682929758337,0.014672593196778688,0.0009601116180419922,0.7533682929758337,0.08161541504812861,,,,,,,
18,,,0.7590249464272711,0.014019408123387644,0.0010111331939697266,0.7590249464272711,0.08551375061386943,,,,,,,
19,,,0.7642743905339646,0.01358730797306218,0.001062154769897461,0.7642743905339646,0.08943642554724801,,,,,,,
20,,,0.7691625302809433,0.01314954564108528,0.0011441707611083984,0.7691625302809433,0.09338517931600383,,,,,,,
21,,,0.7737306564818793,0.01275568078804487,0.0012311935424804688,0.7737306564818793,0.09735567809854942,,,,,,,
22,,,0.7780109496504004,0.01240307667003862,0.0012831687927246094,0.7780109496504004,0.10134711322440274,,,,,,,
23,,,0.7820328209543295,0.012173268734495563,0.0013339519500732422,0.7820328209543295,0.10535415295991396,,,,,,,
24,,,0.7858197352828726,0.012008679050861254,0.0013859272003173828,0.7858197352828726,0.10937544250456813,,,,,,,
25,,,0.7893933792425605,0.011863602001787793,0.001438140869140625,0.7893933792425605,0.11340730679262973,,,,,,,
26,,,0.7927714166492303,0.011675780710938166,0.0014891624450683594,0.7927714166492303,0.11744728375207593,,,,,,,
27,,,0.7959702980379861,0.011485602784331694,0.0015392303466796875,0.7959702980379861,0.12148994762344782,,,,,,,
28,,,0.7990036703547834,0.011270606481407985,0.0015900135040283203,0.7990036703547834,0.1255320479438634,,,,,,,
29,,,0.801884308909793,0.011026515217103988,0.0016412734985351562,0.801884308909793,0.12956872224492602,,,,,,,
30,,,0.8046229873181707,0.010767740403574533,0.0016922950744628906,0.8046229873181707,0.13359739956683425,,,,,,,
31,,,0.8072298263743134,0.01049162167245607,0.0017442703247070312,0.8072298263743134,0.1376163736009051,,,,,,,
32,,,0.809713489160875,0.010223499117625157,0.0017962455749511719,0.809713489160875,0.1416236911598979,,,,,,,
33,,,0.8120821337566198,0.009975941394591098,0.0018470287322998047,0.8120821337566198,0.14561536582071155,,,,,,,
34,,,0.8143428389370948,0.009713256067359816,0.0018973350524902344,0.8143428389370948,0.14958801333118144,,,,,,,
35,,,0.8165022833150795,0.00944724858263038,0.0019481182098388672,0.8165022833150795,0.1535374078426858,,,,,,,
36,,,0.818566334858964,0.009173358926587244,0.0019991397857666016,0.818566334858964,0.15746074185769882,,,,,,,
37,,,0.820540538511616,0.008900057289169816,0.002050161361694336,0.820540538511616,0.16135443108311687,,,,,,,
38,,,0.8224298224103457,0.00862403234959927,0.0021009445190429688,0.8224298224103457,0.1652151721034884,,,,,,,
39,,,0.8242388499968882,0.008351330074510388,0.0021512508392333984,0.8242388499968882,0.1690398578994233,,,,,,,
40,,,0.8259718096354393,0.008079476134871255,0.002203226089477539,0.8259718096354393,0.17282778299640872,,,,,,,
41,,,0.8276326700548096,0.007871373139853532,0.0022530555725097656,0.8276326700548096,0.1765763893447627,,,,,,,
42,,,0.8292262110768092,0.00768644239271199,0.0023040771484375,0.8292262110768092,0.18028315431167966,,,,,,,
43,,,0.8307616654855199,0.007498452245989717,0.002354145050048828,0.8307616654855199,0.1839455507098954,,,,,,,
44,,,0.8322439092247996,0.0073469484416494035,0.0024352073669433594,0.8322439092247996,0.1875612088642887,,,,,,,
45,,,0.8336767418157123,0.007214457200520413,0.0025031566619873047,0.8336767418157123,0.19112786687825326,,,,,,,
46,,,0.8350628563397813,0.007075048176412635,0.002553224563598633,0.8350628563397813,0.194643467742479,,,,,,,
47,,,0.8364044606420331,0.00696321699504035,0.0026030540466308594,0.8364044606420331,0.19810610389794023,,,,,,,
48,,,0.8377033593395449,0.006866060373075217,0.0026552677154541016,0.8377033593395449,0.2015140895567321,,,,,,,
49,,,0.8389611581307843,0.006795023019152802,0.002706289291381836,0.8389611581307843,0.2048658929124198,,,,,,,
50,,,0.8401792843199183,0.006715466145501919,0.002801179885864258,0.8401792843199183,0.2081602026793984,,,,,,,
51,,,0.841359070000758,0.006626007563699743,0.0028510093688964844,0.841359070000758,0.21139585931063648,,,,,,,
52,,,0.8425017545445292,0.00653480478913146,0.002958059310913086,0.8425017545445292,0.2145719120846567,,,,,,,
53,,,0.8436085221284848,0.0064349997391700275,0.0030090808868408203,0.8436085221284848,0.21768755681892388,,,,,,,
54,,,0.8446805002358053,0.006327652601067352,0.0030591487884521484,0.8446805002358053,0.2207421803979929,,,,,,,
55,,,0.8457187777510458,0.006214245881314778,0.0031092166900634766,0.8457187777510458,0.2237353076490411,,,,,,,
56,,,0.846724402874734,0.006095707988634735,0.0031599998474121094,0.846724402874734,0.22666663332488485,,,,,,,
57,,,0.8476983923793675,0.005973247874065335,0.0032110214233398438,0.8476983923793675,0.2295359782581424,,,,,,,
58,,,0.8486417297867486,0.005847639563139467,0.0032622814178466797,0.8486417297867486,0.23234331058530489,,,,,,,
59,,,0.8495553704566763,0.005719830334722675,0.0033490657806396484,0.8495553704566763,0.23508871024978423,,,,,,,
60,,,0.8504402402301636,0.005590439409827591,0.003450155258178711,0.8504402402301636,0.23777238188525449,,,,,,,
61,,,0.8512972384989215,0.005460187547246226,0.003607034683227539,0.8512972384989215,0.24039462641999598,,,,,,,
62,,,0.8521272373145838,0.005336127618776582,0.0036590099334716797,0.8521272373145838,0.2429558479879878,,,,,,,
63,,,0.852931083444469,0.005212665127284077,0.0037102699279785156,0.852931083444469,0.24545653138996398,,,,,,,
64,,,0.8537095978768181,0.005088825508832356,0.00376129150390625,0.8537095978768181,0.24789724501603028,,,,,,,
