,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.015187660853068033,0.00012899015578157543,0.0008632342020670573,3.286392536241236e-05,0.0,{'model__ccp_alpha': 0.0},0.5658499234303216,0.5505359877488515,0.5895865237366003,0.5686574783052578,0.016065446637933824,11,1.0,1.0,1.0,1.0,0.0
1,0.015233675638834635,0.00016553248544499543,0.0008312861124674479,1.5672080173420578e-05,1.1969857683559172e-05,{'model__ccp_alpha': 1.1969857683559172e-05},0.5643185298621746,0.5520673813169985,0.5880551301684533,0.5681470137825422,0.014939265570864632,13,1.0,1.0,1.0,1.0,0.0
2,0.014990091323852539,0.00013009194942886827,0.0008162657419840494,1.1069288474070327e-06,2.3939715367118345e-05,{'model__ccp_alpha': 2.3939715367118345e-05},0.5643185298621746,0.552833078101072,0.5872894333843798,0.5681470137825421,0.014324875140788446,15,1.0,1.0,1.0,1.0,0.0
3,0.01505430539449056,0.00019634696024632678,0.0008226235707600912,1.1635108937381239e-05,3.590957305067752e-05,{'model__ccp_alpha': 3.590957305067752e-05},0.5612557427258805,0.5482388973966309,0.5758039816232772,0.5617662072485962,0.011259185809143849,39,1.0,1.0,1.0,1.0,0.0
4,0.015100320180257162,0.00018434647602850858,0.0008237361907958984,6.265768478529302e-06,4.787943073423669e-05,{'model__ccp_alpha': 4.787943073423669e-05},0.5666156202143952,0.5520673813169985,0.5903522205206738,0.5696784073506892,0.01577905208379144,8,1.0,1.0,1.0,1.0,0.0
5,0.015207767486572266,0.00044081125917486,0.000885009765625,0.00010334411838540511,5.984928841779586e-05,{'model__ccp_alpha': 5.984928841779586e-05},0.5773353751914242,0.5490045941807045,0.5872894333843798,0.5712098009188361,0.01621880027087008,6,1.0,1.0,1.0,1.0,0.0
6,0.015516360600789389,1.6641928030150674e-05,0.0008370081583658854,1.7994242015211986e-05,7.181914610135504e-05,{'model__ccp_alpha': 7.181914610135504e-05},0.5612557427258805,0.5482388973966309,0.5911179173047473,0.5668708524757529,0.01794992442319269,21,1.0,1.0,1.0,1.0,0.0
7,0.015338659286499023,0.00012644114495310673,0.0008713404337565104,5.3515751480556275e-05,8.37890037849142e-05,{'model__ccp_alpha': 8.37890037849142e-05},0.5758039816232772,0.555895865237366,0.5872894333843798,0.572996426748341,0.012969214921809592,2,1.0,1.0,1.0,1.0,0.0
8,0.015306234359741211,0.0001564114314191983,0.0008269945780436198,6.836513890459241e-07,9.575886146847338e-05,{'model__ccp_alpha': 9.575886146847338e-05},0.5681470137825421,0.5566615620214395,0.5803981623277182,0.5684022460438999,0.009692106965823163,12,1.0,1.0,1.0,1.0,0.0
9,0.015285571416219076,0.0004296974572281201,0.0008323192596435547,3.0177300504894707e-05,0.00010772871915203256,{'model__ccp_alpha': 0.00010772871915203256},0.5627871362940275,0.555895865237366,0.5888208269525268,0.5691679428279734,0.01417860583188479,10,1.0,1.0,1.0,1.0,0.0
10,0.015091180801391602,0.00020551746055578403,0.0008147557576497396,6.032613027683368e-06,0.00011969857683559172,{'model__ccp_alpha': 0.00011969857683559172},0.5612557427258805,0.5535987748851455,0.5781010719754976,0.5643185298621746,0.010234781855928202,28,1.0,1.0,1.0,1.0,0.0
11,0.015390316645304361,0.00019943960761119816,0.0008294582366943359,4.577802284213597e-06,0.0001316684345191509,{'model__ccp_alpha': 0.0001316684345191509},0.5727411944869831,0.5497702909647779,0.5803981623277182,0.5676365492598264,0.01301434281162019,18,1.0,1.0,1.0,1.0,0.0
12,0.015254020690917969,9.59760399014712e-05,0.0008190472920735677,9.427504619812595e-06,0.00014363829220271008,{'model__ccp_alpha': 0.00014363829220271008},0.5635528330781011,0.5459418070444104,0.5788667687595712,0.5627871362940277,0.013452459370193402,32,1.0,1.0,1.0,1.0,0.0
13,0.01509404182434082,0.00019058112067638113,0.0008292992909749349,2.371782251635706e-05,0.00015560814988626925,{'model__ccp_alpha': 0.00015560814988626925},0.5681470137825421,0.554364471669219,0.5857580398162328,0.5694231750893313,0.012848098977695984,9,1.0,1.0,1.0,1.0,0.0
14,0.015115022659301758,0.00018119215955467277,0.0008393128712972006,4.435454275529001e-05,0.0001675780075698284,{'model__ccp_alpha': 0.0001675780075698284},0.5696784073506891,0.5497702909647779,0.5758039816232772,0.565084226646248,0.01111359931448558,25,1.0,1.0,1.0,1.0,0.0
15,0.01661793390909831,0.0016171646667879607,0.0009440581003824869,8.185349614124007e-05,0.00017954786525338758,{'model__ccp_alpha': 0.00017954786525338758},0.5666156202143952,0.5490045941807045,0.5888208269525268,0.5681470137825422,0.01629093761841035,13,1.0,1.0,1.0,1.0,0.0
16,0.01606591542561849,0.0008470501405503669,0.000919342041015625,9.45551372424632e-05,0.00019151772293694676,{'model__ccp_alpha': 0.00019151772293694676},0.5597243491577335,0.554364471669219,0.5803981623277182,0.5648289943848902,0.011224417267634531,27,1.0,1.0,1.0,1.0,0.0
17,0.015809059143066406,0.00012194840358929331,0.0009388128916422526,5.642091703704624e-05,0.00020348758062050594,{'model__ccp_alpha': 0.00020348758062050594},0.5658499234303216,0.5520673813169985,0.5934150076569679,0.5704441041347627,0.01718985016894613,7,1.0,1.0,1.0,1.0,0.0
18,0.016758282979329426,0.0012835101813418292,0.001100778579711914,0.00011700029925462738,0.00021545743830406511,{'model__ccp_alpha': 0.00021545743830406511},0.5643185298621746,0.555895865237366,0.5819295558958653,0.5673813169984686,0.010846620398609392,19,1.0,1.0,1.0,1.0,0.0
19,0.015405416488647461,0.0001915480247375592,0.0008254845937093099,1.3688262871382958e-05,0.00022742729598762427,{'model__ccp_alpha': 0.00022742729598762427},0.5627871362940275,0.5459418070444104,0.5865237366003063,0.5650842266462481,0.016646936048106527,24,1.0,1.0,1.0,1.0,0.0
20,0.015558640162150065,0.00013246840830591602,0.0008687973022460938,4.265538707489731e-05,0.00023939715367118344,{'model__ccp_alpha': 0.00023939715367118344},0.5444104134762634,0.5497702909647779,0.5934150076569679,0.5625319040326696,0.02194700645911759,35,1.0,1.0,1.0,1.0,0.0
21,0.01562190055847168,0.00012782897590664038,0.0008440017700195312,3.573628609326222e-06,0.0002513670113547426,{'model__ccp_alpha': 0.0002513670113547426},0.555895865237366,0.5459418070444104,0.5735068912710567,0.5584481878509444,0.01139719936792554,63,1.0,0.9996171516079633,1.0,0.9998723838693211,0.0001804764627836906
22,0.0152740478515625,0.0001617266641678913,0.0008210341135660807,1.6556315943399795e-06,0.0002633368690383018,{'model__ccp_alpha': 0.0002633368690383018},0.5497702909647779,0.5597243491577335,0.5918836140888208,0.5671260847371108,0.017971686311673268,20,1.0,0.9988514548238897,0.9996171516079633,0.9994895354772844,0.0004774958380262986
