,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_model__degree,param_model__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.04900479316711426,0.0034945805867513022,0.7650070870059041,0.8093693858286898,,linear,{'model__kernel': 'linear'},1,0.7715355805243446,0.8123827392120075,0.7528089887640449,0.797373358348968,0.7706766917293233,0.8183520599250936,0.015855006132187748,9.953498987546294e-05,0.00863248218567879,0.008825595500761714
1,0.01378027598063151,0.005467653274536133,0.7587461162268968,0.9062487556595532,,rbf,{'model__kernel': 'rbf'},2,0.7640449438202247,0.9080675422138836,0.7565543071161048,0.9024390243902439,0.7556390977443609,0.9082397003745318,0.00032698134376010605,9.661474728830779e-05,0.0037654200692080193,0.0026948035013501684
0,0.03894201914469401,0.0041350523630778,0.7662555264565909,0.8037478948687499,,linear,{'model__kernel': 'linear'},1,0.7715355805243446,0.8123827392120075,0.7565543071161048,0.7917448405253283,0.7706766917293233,0.8071161048689138,0.00883595871313047,0.0006610411924302192,0.006868753647725763,0.008755544700524044
1,0.015416304270426432,0.006353934605916341,0.7537570518055438,0.908128441699283,,rbf,{'model__kernel': 'rbf'},2,0.7490636704119851,0.9118198874296435,0.7528089887640449,0.9099437148217636,0.7593984962406015,0.9026217228464419,0.00042654775546035567,0.0005302374287381177,0.004272101268692925,0.003968456484731917
0,0.04779696464538574,0.003744045893351237,0.7487679873841908,0.8168764185481093,,linear,{'model__kernel': 'linear'},1,0.7677902621722846,0.8161350844277674,0.7153558052434457,0.8198874296435272,0.7631578947368421,0.8146067415730337,0.008695237514468157,9.556537853917751e-05,0.02370154908536548,0.00221864806176354
1,0.016041119893391926,0.006198008855183919,0.7412820440614646,0.9050050007846665,,rbf,{'model__kernel': 'rbf'},2,0.7303370786516854,0.9099437148217636,0.7265917602996255,0.9080675422138836,0.7669172932330827,0.897003745318352,0.0007716425896701091,0.00031020656709204047,0.018191231449204332,0.005709353302056741
0,0.03998899459838867,0.0036960442860921225,0.7437836163442313,0.8087521929670464,,linear,{'model__kernel': 'linear'},2,0.7528089887640449,0.799249530956848,0.7078651685393258,0.8217636022514071,0.7706766917293233,0.8052434456928839,0.007712668412530571,0.00012772359191892186,0.026424923485845037,0.009520305742274564
1,0.014983415603637695,0.006641387939453125,0.747510161170717,0.8993694560973267,,rbf,{'model__kernel': 'rbf'},1,0.7602996254681648,0.8893058161350844,0.7265917602996255,0.900562851782364,0.7556390977443609,0.9082397003745318,0.00033855309508531165,0.00043054861646809825,0.014913411210916829,0.007775651657320987
0,0.037497917811075844,0.0036870638529459634,0.7437601494372635,0.8150061016599794,,linear,{'model__kernel': 'linear'},2,0.7490636704119851,0.8198874296435272,0.7303370786516854,0.8198874296435272,0.7518796992481203,0.8052434456928839,0.009327593189593976,7.572166398559918e-05,0.009560914411898337,0.006903240236724596
1,0.015178839365641275,0.0058527787526448565,0.7487726807655842,0.9025022661635432,,rbf,{'model__kernel': 'rbf'},1,0.7565543071161048,0.9043151969981238,0.7228464419475655,0.9043151969981238,0.7669172932330827,0.898876404494382,0.0008567577380886477,0.00015991854979511769,0.018814449495921617,0.002563871373908257
