,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
29,0.004489739735921224,0.00012837172085683373,0.0011325677235921223,7.162043673872023e-05,0.004301565382723318,{'model__ccp_alpha': 0.004301565382723318},0.6479400749063671,0.7378277153558053,0.7105263157894737,0.6987647020172153,0.037627105879385246,56,0.8086303939962477,0.8649155722326454,0.8445692883895131,0.8393717515394687,0.023270383383984603
30,0.004435300827026367,0.00021708322577263105,0.0010536511739095051,1.8399297241831186e-06,0.00444989522350688,{'model__ccp_alpha': 0.00444989522350688},0.6479400749063671,0.7340823970037453,0.7180451127819549,0.7000225282306891,0.037405303362961426,46,0.8311444652908068,0.8592870544090057,0.8558052434456929,0.8487455877151685,0.012526781572404158
31,0.004457314809163411,0.00017301856666533108,0.001064618428548177,1.71422055689652e-05,0.004598225064290443,{'model__ccp_alpha': 0.004598225064290443},0.6479400749063671,0.7340823970037453,0.706766917293233,0.6962631297344485,0.03594321520484011,63,0.7936210131332082,0.8592870544090057,0.8333333333333334,0.8287471336251824,0.027003483294209367
32,0.004420677820841472,0.00018748316322356935,0.0010512669881184895,2.9286584492823728e-06,0.004746554905074005,{'model__ccp_alpha': 0.004746554905074005},0.6479400749063671,0.7378277153558053,0.706766917293233,0.6975115691851351,0.03727548862048109,59,0.7936210131332082,0.851782363977486,0.8333333333333334,0.8262455701480093,0.024267440096230726
33,0.0045320987701416016,0.00037879067675255764,0.0010790030161539714,3.888505591571589e-05,0.004894884745857568,{'model__ccp_alpha': 0.004894884745857568},0.6479400749063671,0.7340823970037453,0.7368421052631579,0.7062881923910901,0.041273729400411165,29,0.7936210131332082,0.851782363977486,0.8220973782771536,0.8225002517959492,0.02374598089939857
34,0.004542986551920573,0.00017676732842130847,0.0010857582092285156,2.0802163348580947e-05,0.0050432145866411305,{'model__ccp_alpha': 0.0050432145866411305},0.6479400749063671,0.7303370786516854,0.7368421052631579,0.7050397529404034,0.040462812280718144,44,0.7936210131332082,0.8367729831144465,0.8183520599250936,0.8162486853909162,0.017679390386147218
35,0.004619995752970378,0.00020638781872997722,0.0011452833811442058,7.628508688574025e-05,0.005191544427424693,{'model__ccp_alpha': 0.005191544427424693},0.6629213483146067,0.7303370786516854,0.7443609022556391,0.7125397764073104,0.035549573011142324,10,0.7898686679174484,0.8292682926829268,0.8146067415730337,0.8112479007244696,0.016259232593608924
36,0.0046994686126708984,0.00034544523791193554,0.0010970433553059895,6.163118988781387e-06,0.005339874268208256,{'model__ccp_alpha': 0.005339874268208256},0.6441947565543071,0.7303370786516854,0.7180451127819549,0.6975256493293158,0.03804305630352938,58,0.7804878048780488,0.8292682926829268,0.8202247191011236,0.8099936055540331,0.02118790159392158
37,0.004616340001424153,0.0002446405696468552,0.0010875860850016277,6.608205320354272e-06,0.005488204108991819,{'model__ccp_alpha': 0.005488204108991819},0.6441947565543071,0.7303370786516854,0.7142857142857143,0.6962725164972356,0.0374030425233675,60,0.7804878048780488,0.8292682926829268,0.7790262172284644,0.7962607715964801,0.023347468040004194
38,0.004680633544921875,0.00016619342682572976,0.001089175542195638,1.2786489139499623e-05,0.005636533949775382,{'model__ccp_alpha': 0.005636533949775382},0.6441947565543071,0.7303370786516854,0.7142857142857143,0.6962725164972356,0.0374030425233675,60,0.7804878048780488,0.8292682926829268,0.7752808988764045,0.7950123321457934,0.024315716341065254
39,0.004657427469889323,0.0002662545523672103,0.001175244649251302,6.920009984931828e-05,0.005784863790558944,{'model__ccp_alpha': 0.005784863790558944},0.6441947565543071,0.7303370786516854,0.7142857142857143,0.6962725164972356,0.0374030425233675,60,0.774859287054409,0.8292682926829268,0.7752808988764045,0.7931361595379135,0.025549856142306576
40,0.004563967386881511,0.0001941032148793261,0.0011657079060872395,8.672328110566269e-05,0.005933193631342507,{'model__ccp_alpha': 0.005933193631342507},0.6441947565543071,0.7303370786516854,0.7105263157894737,0.6950193836651554,0.036837242224079664,65,0.774859287054409,0.8292682926829268,0.7659176029962547,0.7900150609111968,0.02799524461812311
41,0.004608949025472005,0.00019301014381759834,0.0010793209075927734,4.989731201280677e-06,0.006081523472126069,{'model__ccp_alpha': 0.006081523472126069},0.6441947565543071,0.7228464419475655,0.7105263157894737,0.6925225047637822,0.03454103658342864,68,0.774859287054409,0.8142589118198874,0.7659176029962547,0.7850119339568504,0.021000439900784578
42,0.004605293273925781,0.00020478763503380644,0.0011090437571207683,3.7141469017594696e-05,0.006229853312909632,{'model__ccp_alpha': 0.006229853312909632},0.6441947565543071,0.7228464419475655,0.7105263157894737,0.6925225047637822,0.03454103658342864,68,0.774859287054409,0.8142589118198874,0.7659176029962547,0.7850119339568504,0.021000439900784578
43,0.0045312245686848955,0.00020976990410143234,0.0010763804117838542,1.7007934696700334e-06,0.006378183153693194,{'model__ccp_alpha': 0.006378183153693194},0.6441947565543071,0.7228464419475655,0.7293233082706767,0.6987881689241832,0.038693823408759175,47,0.774859287054409,0.8142589118198874,0.7378277153558053,0.7756486380767006,0.031207897018864474
44,0.004529873530069987,0.00022297235009121374,0.0010814666748046875,3.975232124455706e-06,0.006526512994476758,{'model__ccp_alpha': 0.006526512994476758},0.6441947565543071,0.7228464419475655,0.7293233082706767,0.6987881689241832,0.038693823408759175,47,0.774859287054409,0.8142589118198874,0.7378277153558053,0.7756486380767006,0.031207897018864474
45,0.005983591079711914,0.00045194508296891205,0.001489082972208659,0.00029099990061792817,0.00667484283526032,{'model__ccp_alpha': 0.00667484283526032},0.6441947565543071,0.7228464419475655,0.7293233082706767,0.6987881689241832,0.038693823408759175,47,0.774859287054409,0.8142589118198874,0.7378277153558053,0.7756486380767006,0.031207897018864474
46,0.004535675048828125,0.00011843813377791276,0.0010730425516764324,1.6509326985136176e-05,0.006823172676043883,{'model__ccp_alpha': 0.006823172676043883},0.6441947565543071,0.7228464419475655,0.7293233082706767,0.6987881689241832,0.038693823408759175,47,0.774859287054409,0.8142589118198874,0.7378277153558053,0.7756486380767006,0.031207897018864474
