,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.03466590245564779,0.0013262944237846842,0.0024434725443522134,0.0002609062151056725,10,{'model__n_estimators': 10},0.6853932584269663,0.704119850187266,0.706766917293233,0.6987600086358218,0.009513297690612741,11,1.0,1.0,1.0,1.0,0.0
1,0.06701000531514485,0.0005468244098993168,0.003847996393839518,0.00025482000565595075,20,{'model__n_estimators': 20},0.6853932584269663,0.6891385767790262,0.706766917293233,0.6937662508330752,0.009319150486883596,12,1.0,1.0,1.0,1.0,0.0
2,0.10126018524169922,0.0025105604154521863,0.005563974380493164,0.0011203816611783685,30,{'model__n_estimators': 30},0.700374531835206,0.7116104868913857,0.7255639097744361,0.7125163095003426,0.010303448490368499,10,1.0,1.0,1.0,1.0,0.0
3,0.13144254684448242,0.0014125111217280174,0.005910396575927734,3.806542581365103e-05,40,{'model__n_estimators': 40},0.7116104868913857,0.7378277153558053,0.7180451127819549,0.7224944383430486,0.011155959261021108,7,1.0,1.0,1.0,1.0,0.0
4,0.16669321060180664,0.002440888527213968,0.007371107737223308,0.00029553296979091775,50,{'model__n_estimators': 50},0.7153558052434457,0.7340823970037453,0.7142857142857143,0.7212413055109684,0.009090526083377687,8,1.0,1.0,1.0,1.0,0.0
5,0.1977090835571289,0.0047882161304738475,0.008479038874308268,0.0003254166055315089,60,{'model__n_estimators': 60},0.7191011235955056,0.7116104868913857,0.7218045112781954,0.7175053739216956,0.004311948211332195,9,1.0,1.0,1.0,1.0,0.0
6,0.22129368782043457,0.005928558316708035,0.009491920471191406,0.0003402149305890586,70,{'model__n_estimators': 70},0.7153558052434457,0.7303370786516854,0.7293233082706767,0.7250053973886027,0.006835832259608594,6,1.0,1.0,1.0,1.0,0.0
7,0.24836039543151855,0.005462401456061457,0.010490338007609049,0.0002499147121131476,80,{'model__n_estimators': 80},0.7303370786516854,0.7340823970037453,0.7406015037593985,0.7350069931382764,0.004241129111212015,4,1.0,1.0,1.0,1.0,0.0
8,0.27981042861938477,0.002088671546993377,0.011682589848836264,0.0001479727880206486,90,{'model__n_estimators': 90},0.7340823970037453,0.7340823970037453,0.7556390977443609,0.7412679639172839,0.010161926182465551,2,1.0,1.0,1.0,1.0,0.0
9,0.3253677686055501,0.008345671821311124,0.013888279596964518,0.0004290581232343024,100,{'model__n_estimators': 100},0.7265917602996255,0.7153558052434457,0.7669172932330827,0.736288286258718,0.022138408896197965,3,1.0,1.0,1.0,1.0,0.0
