,RHC,SA,GA,MIMIC
10,8.0,9.0,10.0,10.0
20,18.0,20.0,19.0,20.0
30,27.0,28.0,26.0,30.0
40,31.0,34.0,30.0,40.0
50,47.0,49.0,38.0,50.0
60,45.0,53.0,46.0,60.0
70,53.0,62.0,51.0,70.0
80,61.0,70.0,58.0,80.0
90,77.0,78.0,63.0,89.0
100,87.0,90.0,71.0,100.0
